iter	Passed	Remaining
179	319	1456
180	320	1449
181	321	1442
182	321	1436
183	322	1429
184	323	1423
185	323	1416
186	324	1409
187	324	1403
188	325	1397
189	326	1391
190	327	1385
191	329	1385
192	331	1388
193	332	1382
194	333	1376
195	334	1370
196	334	1364
197	335	1358
198	336	1352
199	336	1347
200	337	1341
201	338	1336
202	338	1330
203	339	1325
204	340	1319
205	341	1314
206	341	1308
207	342	1303
208	342	1297
209	345	1299
210	346	1297
211	347	1292
212	348	1287
213	349	1282
214	349	1277
215	350	1271
216	351	1266
217	351	1261
218	352	1256
219	353	1252
220	354	1248
221	355	1244
222	355	1239
223	356	1234
224	357	1229
225	358	1227
226	359	1224
227	360	1220
228	361	1216
229	362	1211
230	362	1208
231	363	1204
232	364	1200
233	365	1196
234	366	1193
235	367	1190
236	368	1186
237	369	1182
238	369	1177
239	370	1173
240	371	1169
241	373	1168
242	374	1167
243	375	1164
244	376	1160
245	377	1157
246	378	1154
247	379	1151
248	380	1148
249	381	1144
250	382	1141
251	383	1137
252	383	1133
253	384	1129
254	385	1125
255	386	1122
256	388	1122
257	390	1123
258	391	1120
259	392	1117
260	393	1114
261	394	1111
262	395	1107
263	396	1104
264	396	1100
265	398	1100
266	400	1099
267	402	1098
268	403	1095
269	404	1093
270	405	1089
271	405	1086
272	407	1085
273	408	1083
274	409	1079
275	410	1076
276	411	1073
277	411	1069
278	412	1065
279	413	1063
280	414	1061
281	415	1057
282	416	1055
283	418	1055
284	420	1054
285	421	1051
286	422	1048
287	423	1046
288	424	1043
289	425	1040
290	426	1039
291	427	1037
292	428	1034
293	429	1031
294	430	1027
295	433	1030
296	434	1028
297	435	1025
298	436	1022
299	436	1019
300	437	1017
301	439	1014
302	439	1012
303	440	1009
304	441	1006
305	442	1003
306	443	1000
307	444	998
308	447	1000
309	448	998
310	449	996
311	450	993
312	451	990
313	452	987
314	452	984
315	453	981
316	454	978
317	454	975
318	455	972
319	456	970
320	457	967
321	458	964
322	458	961
323	460	960
324	462	960
325	464	959
326	465	957
327	465	954
328	466	951
329	467	949
330	468	947
331	469	945
332	470	942
333	471	939
334	471	936
335	472	934
336	473	931
337	473	928
338	476	929
339	477	926
340	478	924
341	479	921
342	479	919
343	481	918
344	482	916
345	483	913
346	484	911
347	485	909
348	486	906
349	487	905
350	490	906
351	493	908
352	494	905
353	494	903
354	495	900
355	496	897
356	496	895
357	497	892
358	498	889
359	499	888
360	501	887
361	502	885
362	505	886
363	507	886
364	509	885
365	510	883
366	511	881
367	512	879
368	514	879
369	515	877
370	516	875
371	516	872
372	517	870
373	520	871
374	522	871
375	523	868
376	524	866
377	526	865
378	527	863
379	528	861
380	528	859
381	530	857
382	531	856
383	532	854
384	535	855
385	538	857
386	540	855
387	541	853
388	542	851
389	543	849
390	545	849
391	546	847
392	547	845
393	551	847
394	552	845
395	553	843
396	554	841
397	555	840
398	557	840
399	558	838
400	559	836
401	560	834
402	565	837
403	567	836
404	568	834
405	569	832
406	570	830
407	571	828
408	572	826
409	573	824
410	574	823
411	576	822
412	577	821
413	579	820
414	581	819
415	582	817
416	583	815
417	584	814
418	585	812
419	587	810
420	588	808
421	588	806
422	590	804
423	591	803
424	594	804
425	595	802
426	596	800
427	597	799
428	600	799
429	601	797
430	602	795
431	603	793
432	604	791
433	606	791
434	610	793
435	612	792
436	613	790
437	614	788
438	615	786
439	616	785
440	618	783
441	619	781
442	620	779
443	622	779
444	624	778
445	625	776
446	626	774
447	627	772
448	628	770
449	629	769
450	630	767
451	631	765
452	632	763
453	633	761
454	636	762
455	637	761
456	638	758
457	639	756
458	640	755
459	643	754
460	643	752
461	644	750
462	645	749
463	647	747
464	649	746
465	651	746
466	652	744
467	653	743
468	654	740
469	655	738
470	656	736
471	656	734
472	657	732
473	659	732
474	661	730
475	663	730
476	665	729
477	666	727
478	667	725
479	668	723
